player_name,noc,group,group_is_bye,paris_ranking,bwf_points,seed_9july,qualification_route
Shi Yu Qi,CHN,A,1,2,92184,1,Direct
Giovanni Toti,ITA,A,1,73,23851,,Reallocation (from AUS)
Soren Opti,SUR,A,1,286,5840,,Universality
Kunlavut Vitidsarn,THA,C,0,8,78598,8,Direct
Georges Julien Paul,MRI,C,0,112,16922,,Continental (Africa 2)
Kalle Koljonen,FIN,C,0,57,30496,,Direct
Kenta Nishimoto,JPN,D,0,11,64982,11,Direct
Dmitriy Panarin,KAZ,D,0,69,25005,,Direct
Brian Yang,CAN,D,0,24,51173,,Continental (Pan Am 1)
Anders Antonsen,DEN,E,1,4,87754,4,Direct
Ade Resky Dwicahyo,AZE,E,1,58,29677,,Direct
Collins Valentine Filimon,AUT,E,1,89,19830,,Conditional reallocation
Lee Zii Jia,MAS,G,0,10,69856,7,Direct
Viren Nettasinghe,SRI,G,0,72,24030,,Host reallocation
Pablo Abian,ESP,G,0,68,25716,,Direct
Anthony Sinisuka Ginting,INA,H,0,7,79701,9,Direct
Toma Junior Popov,FRA,H,0,20,55455,,Host place
Howard Shu,USA,H,0,78,22772,,Conditional reallocation
Chou Tien Chen,TPE,I,0,14,62498,12,Direct
Lee Cheuk Yiu,HKG,I,0,15,61699,,Direct
Luis Ramon Garrido,MEX,I,0,67,25729,,Direct
Kodai Naraoka,JPN,J,0,5,82815,5,Direct
Jeon Hyeok Jin,KOR,J,0,47,35109,,Direct
Ygor Coelho,BRA,J,0,48,34202,,Direct
Prannoy H. S.,IND,K,0,9,75847,13,Direct
Le Duc Phat,VIE,K,0,74,23630,,Reallocation (from NZL)
Fabian Roth,GER,K,0,77,22986,,Reallocation (from NED)
Jonatan Christie,INA,L,0,3,89211,3,Direct
Lakshya Sen,IND,L,0,13,64021,,Direct
Kevin Cordon,GUA,L,0,38,37876,,Continental (Pan Am 2)
Julien Carraggi,BEL,L,0,43,35947,,Direct
Loh Kean Yew,SGP,M,0,12,64752,10,Direct
Uriel Francisco Canjura Artiga,ESA,M,0,56,31059,,Direct
Jan Louda,CZE,M,0,54,31416,,Direct
Li Shi Feng,CHN,N,0,6,81598,6,Direct
Tobias Kuenzi,SUI,N,0,88,19948,,Conditional reallocation
Anuoluwapo Juwon Opeyori,NGR,N,0,101,18848,,Continental (Africa 1)
Viktor Axelsen,DEN,P,1,1,98715,2,Direct
Nhat Nguyen,IRL,P,1,42,35993,,Direct
Misha Zilberman,ISR,P,1,51,32541,,Direct
Prince Dahal,NEP,P,1,179,10480,,Universality
